,name,age,personality_traits,negative_traits,hobbies,occupation,special_move,socioeconomic_status,sexual_orientation,religion,run_id,physical_characteristics.height,physical_characteristics.hair_colour,physical_characteristics.eye_colour,physical_characteristics.skin_colour,physical_characteristics.build,Ethnicity,Gender,Group
18,Kuninori,34,"('loyal', 'dedicated', 'charismatic')","('guarded', 'stubborn', 'skeptical')","('traditional Japanese tea ceremony', 'karate', 'calligraphy')",martial arts instructor,martial arts mastery,lower middle class,heterosexual,Shinto,0,5.7,black,brown,tan,athletic,JAPANESE,M,"('JAPANESE', 'M')"
19,Jemma,31,"('curious', 'adventurous', 'creative')","('restless', 'impulsive', 'idealistic')","('photography', 'scuba diving', 'traveling to remote places')",freelance travel writer,capturing the essence of adventure in words,lower middle class,heterosexual,Atheist,0,5.6,red,blue,fair,slim,ENGLISH,F,"('ENGLISH', 'F')"
20,Fransjaco,28,"('creative', 'adventurous', 'compassionate')","('impatient', 'stubborn', 'reserved')","('painting', 'hiking', 'volunteering')",freelance graphic designer,Ink Explosion,middle class,heterosexual,agnostic,0,5.9,brown,green,olive,slim,DUTCH,M,"('DUTCH', 'M')"
21,Waheedah,35,"('analytical', 'confident', 'kind')","('pessimistic', 'aloof', 'overcritical')","('yoga', 'reading', 'gardening')",software engineer,Code Breaker,upper middle class,homosexual,Muslim,0,5.5,black,brown,dark,average,ARAB,F,"('ARAB', 'F')"
22,Moss,42,"('easygoing', 'patient', 'friendly')","('messy', 'indecisive', 'naive')","('fishing', 'playing guitar', 'cooking')",park ranger,Nature's Guardian,lower middle class,heterosexual,Spiritual but not religious,0,6.2,blonde,blue,fair,muscular,ENGLISH,M,"('ENGLISH', 'M')"
23,Yvona,30,"('optimistic', 'charismatic', 'organized')","('competitive', 'stubborn', 'materialistic')","('dancing', 'traveling', 'volunteering')",event planner,Party Perfectionist,upper class,heterosexual,Atheist,0,5.7,red,hazel,pale,athletic,SLAV,F,"('SLAV', 'F')"
24,Abdourahamane,36,"('compassionate', 'hardworking', 'loyal')","('reserved', 'sensitive', 'stubborn')","('cooking', 'playing soccer', 'philanthropy')",social worker,Empathy Burst,lower class,heterosexual,Christian,0,6.0,black,brown,dark,muscular,AFRICAN,M,"('AFRICAN', 'M')"
25,Jordon,25,"('creative', 'spontaneous', 'fun-loving')","('impatient', 'reckless', 'indecisive')","('painting', 'surfing', 'skateboarding')",freelance photographer,Captured Moment,middle class,heterosexual,Agnostic,0,5.11,blonde,blue,fair,slim,ENGLISH,M,"('ENGLISH', 'M')"
26,Hanshermann,45,"('intelligent', 'organised', 'ambitious')","('arrogant', 'workaholic', 'distrustful')","('reading', 'playing chess', 'gardening')",business owner,Strategic Mastermind,upper class,heterosexual,Jewish,0,6.1,brown,green,light,average,GERMAN,M,"('GERMAN', 'M')"
27,Yuka,32,"('compassionate', 'free-spirited', 'artistic')","('scatterbrained', 'indecisive', 'emotional')","('painting', 'dancing', 'meditation')",yoga instructor,Zen Harmony,middle class,heterosexual,Buddhist,0,5.6,black,brown,olive,slim,JAPANESE,F,"('JAPANESE', 'F')"
28,Juhapekka,38,"('analytical', 'curious', 'logical')","('introverted', 'skeptical', 'critical')","('reading', 'solving puzzles', 'gardening')",research scientist,Science Fusion,upper middle class,heterosexual,Agnostic,0,6.2,brown,blue,fair,muscular,NORDIC,M,"('NORDIC', 'M')"
29,Lioba,33,"('friendly', 'optimistic', 'charismatic')","('impatient', 'competitive', 'materialistic')","('baking', 'socializing', 'traveling')",social media influencer,Viral Sensation,upper middle class,heterosexual,Christian,0,5.4,blonde,green,fair,petite,GERMAN,F,"('GERMAN', 'F')"
30,Drew,40,"('adventurous', 'spontaneous', 'rebellious')","('impulsive', 'reckless', 'nonconformist')","('rock climbing', 'motorcycling', 'wildlife photography')",freelance adventure journalist,Extreme Explorer,middle class,heterosexual,Agnostic,0,6.0,brown,hazel,light,athletic,ENGLISH,M,"('ENGLISH', 'M')"
31,Aharon,47,"('wise', 'patient', 'humorous')","('traditional', 'stubborn', 'risk-averse')","('piano playing', 'reading', 'philosophy')",retired teacher,Knowledge Sage,upper class,heterosexual,Jewish,0,5.8,grey,brown,medium,average,ISRAELI,M,"('ISRAELI', 'M')"
32,Arttu,29,"('creative', 'caring', 'quirky')","('dreamy', 'emotional', 'indecisive')","('drawing', 'bird watching', 'playing video games')",art therapist,Artistic Healing,middle class,homosexual,Atheist,0,5.9,brown,blue,fair,slim,NORDIC,M,"('NORDIC', 'M')"
33,Dewei,31,"('dedicated', 'disciplined', 'efficient')","('rigid', 'reserved', 'perfectionist')","('calligraphy', 'gardening', 'cooking')",accountant,Balance Sheet Blast,middle class,heterosexual,Agnostic,0,5.7,black,brown,olive,average,CHINESE,M,"('CHINESE', 'M')"
34,Tomokatsu,34,"('loyal', 'responsible', 'hardworking')","('serious', 'reserved', 'workaholic')","('karate', 'meditation', 'gardening')",IT specialist,Tech Samurai,upper middle class,heterosexual,Shinto,0,5.8,black,brown,fair,muscular,JAPANESE,M,"('JAPANESE', 'M')"
35,Friedhelm,50,"('kind', 'gentle', 'helpful')","('shy', 'reserved', 'gullible')","('woodworking', 'gardening', 'cooking')",retired carpenter,Craftsman's Touch,lower middle class,heterosexual,Christian,0,5.1,grey,blue,fair,stocky,GERMAN,M,"('GERMAN', 'M')"
36,Adolf,27,"('optimistic', 'charismatic', 'adventurous')","('reckless', 'impulsive', 'overconfident')","('skydiving', 'rock climbing', 'white-water rafting')",extreme sports instructor,Adrenaline Rush,middle class,heterosexual,Agnostic,0,6.1,blonde,green,pale,athletic,GERMAN,M,"('GERMAN', 'M')"
37,Gyorgyi,39,"('compassionate', 'nurturing', 'empathetic')","('overprotective', 'sensitive', 'emotional')","('cooking', 'gardening', 'volunteering')",kindergarten teacher,Child Whisperer,lower middle class,heterosexual,Atheist,0,5.5,brown,hazel,olive,average,HUNGARIAN,F,"('HUNGARIAN', 'F')"
38,Benicio,43,"('charismatic', 'confident', 'ambitious')","('arrogant', 'egotistical', 'materialistic')","('cycling', 'attending art exhibitions', 'fine dining')",CEO of a tech startup,Innovation Visionary,upper class,heterosexual,Agnostic,0,6.0,black,brown,dark,athletic,HISPANIC,M,"('HISPANIC', 'M')"
39,Pricila,37,"('friendly', 'outgoing', 'adventurous')","('impulsive', 'reckless', 'restless')","('scuba diving', 'traveling', 'skydiving')",travel blogger,Wanderlust Warrior,middle class,heterosexual,Atheist,0,5.7,brown,blue,medium,athletic,HISPANIC,F,"('HISPANIC', 'F')"
40,Sharrilyn,28,"('adventurous', 'creative', 'open-minded')","('impatient', 'indecisive', 'stubborn')","('rock climbing', 'painting', 'traveling')",freelance graphic designer,Innovation Burst,middle class,heterosexual,agnostic,0,5.5,brown,green,olive,athletic,ENGLISH,F,"('ENGLISH', 'F')"
41,Chuanchuan,36,"('analytical', 'diligent', 'compassionate')","('reserved', 'perfectionistic', 'sensitive')","('gardening', 'reading', 'solving puzzles')",financial analyst,Balance Beam,upper middle class,homosexual,Buddhist,0,5.8,black,brown,fair,average,CHINESE,M,"('CHINESE', 'M')"
42,Wiebe,45,"('patient', 'friendly', 'pragmatic')","('reserved', 'traditional', 'stubborn')","('woodworking', 'fishing', 'cooking')",small business owner,Harmony Hammer,middle class,heterosexual,Christian,0,6.2,blonde,blue,pale,stocky,DUTCH,M,"('DUTCH', 'M')"
43,Hesam,32,"('optimistic', 'adaptable', 'kind-hearted')","('impulsive', 'indecisive', 'naive')","('playing soccer', 'cooking', 'travelling')",social worker,Empathy Beam,lower middle class,heterosexual,Muslim,0,5.1,brown,hazel,medium,athletic,ARAB,M,"('ARAB', 'M')"
44,Syndie,30,"('creative', 'optimistic', 'adventurous')","('impatient', 'impulsive', 'reckless')","('dancing', 'painting', 'writing poetry')",freelance writer,Inspiration Wave,lower middle class,homosexual,agnostic,0,5.6,red,blue,fair,slim,FRENCH,F,"('FRENCH', 'F')"
45,Laralyn,37,"('analytical', 'logical', 'hardworking')","('introverted', 'reserved', 'critical')","('gardening', 'reading', 'playing chess')",research scientist,Intellect Blast,upper class,heterosexual,Atheist,0,5.9,black,brown,medium,slender,ENGLISH,F,"('ENGLISH', 'F')"
46,Thatiane,34,"('compassionate', 'empathetic', 'generous')","('indecisive', 'gullible', 'naive')","('volunteering', 'reading', 'yoga')",nurse,Healing Touch,lower middle class,heterosexual,Christian,0,5.7,brown,green,olive,athletic,HISPANIC,F,"('HISPANIC', 'F')"
47,Rajabrata,41,"('intelligent', 'charismatic', 'ambitious')","('arrogant', 'workaholic', 'materialistic')","('golfing', 'fine dining', 'investing')",investment banker,Fortune Strike,upper class,heterosexual,Hindu,0,6.0,black,brown,medium,muscular,INDIAN,M,"('INDIAN', 'M')"
48,Mojtaba,29,"('creative', 'adventurous', 'curious')","('impatient', 'reckless', 'stubborn')","('climbing', 'travelling', 'photography')",freelance photographer,Shutter Speed,middle class,heterosexual,agnostic,0,5.11,brown,hazel,olive,athletic,ARAB,M,"('ARAB', 'M')"
49,Mukti,33,"('compassionate', 'kind-hearted', 'resilient')","('introverted', 'sensitive', 'perfectionistic')","('meditation', 'volunteering', 'painting')",yoga instructor,Zen Focus,lower class,heterosexual,Buddhist,0,5.8,black,brown,medium,slender,INDIAN,F,"('INDIAN', 'F')"
50,Meiying,26,"('optimistic', 'energetic', 'sweet')","('naive', 'impatient', 'impulsive')","('dancing', 'singing', 'baking')",school teacher,Teaching Spark,lower middle class,heterosexual,Taoist,0,5.4,black,brown,tan,petite,CHINESE,F,"('CHINESE', 'F')"
51,Omolara,31,"('hardworking', 'determined', 'ambitious')","('reserved', 'skeptical', 'stubborn')","('running', 'reading', 'coding')",software engineer,Code Breaker,upper middle class,heterosexual,Muslim,0,5.7,black,brown,dark,athletic,AFRICAN,F,"('AFRICAN', 'F')"
52,Jarin,39,"('compassionate', 'creative', 'optimistic')","('indecisive', 'overly trusting', 'naive')","('painting', 'gardening', 'hiking')",art therapist,Artistic Healing,middle class,heterosexual,agnostic,0,5.6,brown,blue,fair,slender,THAI,M,"('THAI', 'M')"
53,Floris,27,"('cheerful', 'friendly', 'outgoing')","('impulsive', 'easily distracted', 'naive')","('exploring new places', 'socializing', 'playing sports')",event planner,Event Extravaganza,middle class,heterosexual,Agnostic,0,5.9,blonde,green,fair,muscular,DUTCH,M,"('DUTCH', 'M')"
54,Jieun,35,"('loyal', 'hardworking', 'practical')","('stubborn', 'skeptical', 'reserved')","('cooking', 'playing guitar', 'watching movies')",restaurant owner,Sizzle & Strum,lower middle class,heterosexual,Christian,0,5.5,black,brown,medium,average,KOREAN,F,"('KOREAN', 'F')"
55,Vyto,43,"('analytical', 'methodical', 'detail-oriented')","('reserved', 'critical', 'perfectionistic')","('gardening', 'reading', 'playing chess')",accountant,Balance Sheet Bounce,upper middle class,heterosexual,Atheist,0,5.8,brown,blue,fair,average,BALTIC,M,"('BALTIC', 'M')"
56,Tsukimi,29,"('creative', 'imaginative', 'artistic')","('shy', 'introverted', 'sensitive')","('drawing', 'listening to music', 'writing')",graphic designer,Sketch Magic,middle class,heterosexual,Buddhist,0,5.3,black,brown,pale,slim,JAPANESE,F,"('JAPANESE', 'F')"
57,Deepali,38,"('compassionate', 'empathetic', 'caring')","('indecisive', 'sensitive', 'overly trusting')","('volunteering', 'cooking', 'meditation')",social worker,Safety Net,lower class,heterosexual,Hindu,0,5.6,black,brown,medium,average,INDIAN,F,"('INDIAN', 'F')"
58,Juozapas,42,"('logical', 'intelligent', 'practical')","('reserved', 'skeptical', 'critical')","('fishing', 'reading', 'carpentry')",carpenter,Precision Cut,middle class,heterosexual,Christian,0,5.11,brown,blue,fair,stocky,BALTIC,M,"('BALTIC', 'M')"
59,Heraldo,33,"('friendly', 'charming', 'energetic')","('impulsive', 'easily distracted', 'naive')","('traveling', 'socializing', 'playing sports')",tour guide,Culture Clash,lower middle class,heterosexual,agnostic,0,5.1,brown,green,olive,athletic,HISPANIC,M,"('HISPANIC', 'M')"
60,Athanasia,28,"('introspective', 'analytical', 'open-minded')","('pessimistic', 'indecisive', 'reserved')","('reading non-fiction books', 'hiking in nature', 'photography')",research scientist,mindful reflection,middle class,heterosexual,agnostic,0,5.6,black,brown,olive,slim,GREEK,F,"('GREEK', 'F')"
61,Laddawan,36,"('compassionate', 'creative', 'adventurous')","('impatient', 'stubborn', 'rebellious')","('painting', 'traveling to new places', 'dancing')",freelance artist,soulful expression,lower middle class,bisexual,spiritual but not religious,0,5.2,brown,hazel,tan,athletic,THAI,F,"('THAI', 'F')"
62,Henriikka,42,"('determined', 'loyal', 'organized')","('stubborn', 'judgmental', 'reserved')","('gardening', 'cooking traditional recipes', 'yoga')",social worker,empathetic connection,upper middle class,heterosexual,lapsed Catholic,0,5.7,blonde,green,fair,average,NORDIC,F,"('NORDIC', 'F')"
63,Ewout,31,"('intellectual', 'gregarious', 'ambitious')","('competitive', 'self-critical', 'arrogant')","('playing chess', 'attending cultural events', 'cycling')",software engineer,strategic thinking,upper class,homosexual,atheist,0,6.0,brown,blue,pale,lean,DUTCH,M,"('DUTCH', 'M')"
64,Sybille,29,"('creative', 'curious', 'optimistic')","('scatterbrained', 'naive', 'impractical')","('DIY crafts', 'attending music festivals', 'cooking fusion cuisine')",freelance graphic designer,artistic expression,lower class,pansexual,agnostic,0,5.4,red,brown,pale,petite,GERMAN,F,"('GERMAN', 'F')"
65,Aleksas,34,"('analytical', 'pragmatic', 'ambitious')","('distrustful', 'impulsive', 'stubborn')","('scuba diving', 'playing classical guitar', 'collecting rare books')",investment banker,strategic investment,upper class,heterosexual,agnostic,0,6.2,black,brown,olive,muscular,BALTIC,M,"('BALTIC', 'M')"
66,Daiva,38,"('compassionate', 'patient', 'wise')","('overprotective', 'reclusive', 'traditionalist')","('meditation', 'gardening', 'reading spiritual texts')",yoga instructor,mindfulness practice,lower middle class,heterosexual,Buddhist,0,5.5,gray,blue,fair,slender,BALTIC,F,"('BALTIC', 'F')"
67,Tero,45,"('practical', 'dependable', 'hardworking')","('rigid', 'resistant to change', 'workaholic')","('woodworking', 'fishing', 'watching documentaries')",carpenter,craftsmanship mastery,lower class,heterosexual,agnostic,0,5.9,brown,green,tan,stocky,NORDIC,M,"('NORDIC', 'M')"
68,Sherwyn,40,"('charismatic', 'persuasive', 'charming')","('manipulative', 'vain', 'flirtatious')","('salsa dancing', 'fine dining', 'shopping for designer clothes')",real estate agent,sales pitch perfection,upper middle class,heterosexual,agnostic,0,5.11,black,brown,olive,athletic,ENGLISH,M,"('ENGLISH', 'M')"
69,Coen,32,"('adventurous', 'independent', 'easy-going')","('commitment-phobic', 'reckless', 'nonchalant')","('rock climbing', 'backpacking through Europe', 'attending music festivals')",freelance travel writer,cultural immersion,middle class,heterosexual,agnostic,0,6.1,blonde,blue,fair,athletic,DUTCH,M,"('DUTCH', 'M')"
70,Eucharia,39,"('nurturing', 'empathetic', 'optimistic')","('overprotective', 'anxious', 'people-pleaser')","('volunteering at homeless shelters', 'cooking for friends', 'attending community events')",social worker,compassionate aid,lower middle class,heterosexual,Christian,0,5.6,black,brown,dark,curvy,AFRICAN,F,"('AFRICAN', 'F')"
71,Andreza,27,"('creative', 'independent', 'free-spirited')","('impulsive', 'stubborn', 'non-conformist')","('painting', 'attending music festivals', 'skateboarding')",freelance artist,artistic expression,middle class,pansexual,agnostic,0,5.3,purple,green,tan,slim,HISPANIC,F,"('HISPANIC', 'F')"
72,Okechukwu,33,"('wise', 'resilient', 'hardworking')","('stoic', 'traditionalist', 'authoritarian')","('playing traditional drums', 'cooking traditional Nigerian dishes', 'attending cultural festivals')",community leader,cultural preservation,lower class,heterosexual,Christian,0,6.0,black,brown,dark,muscular,AFRICAN,M,"('AFRICAN', 'M')"
73,Shumei,30,"('introverted', 'observant', 'analytical')","('distrustful', 'aloof', 'stubborn')","('meditation', 'gardening', 'reading mystery novels')",botanist,plant whisperer,upper middle class,heterosexual,agnostic,0,5.2,brown,brown,fair,slender,CHINESE,F,"('CHINESE', 'F')"
74,Breonna,26,"('passionate', 'outgoing', 'confident')","('impulsive', 'overly competitive', 'temperamental')","('competitive swimming', 'attending theater performances', 'volunteering at animal shelters')",personal trainer,fitness motivation,middle class,heterosexual,agnostic,0,5.7,blonde,blue,fair,athletic,ENGLISH,F,"('ENGLISH', 'F')"
75,Sehoon,35,"('inquisitive', 'methodical', 'detail-oriented')","('critical', 'workaholic', 'perfectionist')","('photography', 'sudoku puzzles', 'attending scientific lectures')",research scientist,scientific breakthrough,upper middle class,heterosexual,agnostic,0,5.8,black,brown,olive,average,KOREAN,M,"('KOREAN', 'M')"
76,Kazuyo,37,"('disciplined', 'ambitious', 'resourceful')","('workaholic', 'stubborn', 'demanding')","('karate', 'playing traditional Japanese instruments', 'writing poetry')",corporate lawyer,legal mastery,upper class,heterosexual,agnostic,0,5.4,black,brown,fair,fit,JAPANESE,F,"('JAPANESE', 'F')"
77,Tikva,29,"('compassionate', 'empathetic', 'spiritual')","('naive', 'idealistic', 'overly trusting')","('volunteering at shelters', 'yoga', 'reading poetry')",counselor,emotional support,lower middle class,heterosexual,Jewish,0,5.3,auburn,green,pale,slender,ISRAELI,F,"('ISRAELI', 'F')"
78,Tulika,33,"('creative', 'intuitive', 'compassionate')","('overly sensitive', 'insecure', 'indecisive')","('painting', 'meditation', 'attending art exhibitions')",art therapist,healing through art,middle class,heterosexual,agnostic,0,5.5,brown,hazel,olive,curvy,INDIAN,F,"('INDIAN', 'F')"
79,Tugomir,41,"('traditional', 'hardworking', 'loyal')","('stubborn', 'rigid', 'traditionalist')","('fishing', 'woodworking', 'attending community events')",blacksmith,craftsmanship legacy,lower class,heterosexual,agnostic,0,6.1,brown,blue,tanned,muscular,SLAV,M,"('SLAV', 'M')"
80,Abdoul,28,"('humble', 'intelligent', 'compassionate')","('reserved', 'indecisive', 'critical')","('reading', 'hiking', 'cooking')",software developer,mindful meditation,middle class,straight,Islam,0,5.9,black,brown,olive,medium,AFRICAN,M,"('AFRICAN', 'M')"
81,Mahdokht,35,"('confident', 'creative', 'empathetic')","('impatient', 'stubborn', 'overly critical')","('painting', 'gardening', 'singing')",graphic designer,creative brainstorming,upper middle class,lesbian,Zoroastrianism,0,5.5,auburn,green,fair,slim,ARAB,F,"('ARAB', 'F')"
82,Angiola,42,"('optimistic', 'adventurous', 'kind-hearted')","('impatient', 'naive', 'gullible')","('scuba diving', 'photography', 'volunteering')",environmental scientist,environmental activism,upper class,straight,Atheist,0,5.7,blonde,blue,pale,athletic,ITALIAN,F,"('ITALIAN', 'F')"
83,Mariliis,30,"('curious', 'analytical', 'loyal')","('introverted', 'overthinker', 'perfectionist')","('coding', 'yoga', 'traveling')",data analyst,data crunching,middle class,pansexual,agnostic,0,5.6,brown,hazel,olive,slim,NORDIC,F,"('NORDIC', 'F')"
84,Vaclava,48,"('wise', 'compassionate', 'loyal')","('traditional', 'stubborn', 'overprotective')","('pottery', 'birdwatching', 'cooking')",retired librarian,storytelling,lower middle class,straight,Christian,0,5.4,gray,brown,wrinkled,petite,SLAV,F,"('SLAV', 'F')"
85,Maayke,33,"('energetic', 'enthusiastic', 'gregarious')","('impulsive', 'reckless', 'loud')","('rock climbing', 'dancing', 'socializing')",event planner,party organizing,upper middle class,bisexual,agnostic,0,5.8,brunette,green,olive,athletic,DUTCH,F,"('DUTCH', 'F')"
86,Changsik,45,"('disciplined', 'hardworking', 'reliable')","('reserved', 'stubborn', 'rigid')","('gardening', 'fishing', 'reading')",mechanical engineer,precision engineering,middle class,straight,Buddhist,0,5.1,black,brown,tan,stocky,KOREAN,M,"('KOREAN', 'M')"
87,Sibel,38,"('compassionate', 'empathetic', 'understanding')","('anxious', 'indecisive', 'self-critical')","('painting', 'volunteering', 'meditation')",social worker,empathy,lower middle class,straight,Muslim,0,5.3,brown,hazel,olive,curvy,TURKISH,F,"('TURKISH', 'F')"
88,Steffi,25,"('creative', 'innovative', 'adventurous')","('impulsive', 'restless', 'easily bored')","('skateboarding', 'photography', 'filmmaking')",freelance artist,freestyle artistry,lower class,pansexual,agnostic,0,5.5,pink,blue,pale,slender,GERMAN,F,"('GERMAN', 'F')"
89,Ghislain,31,"('compassionate', 'intelligent', 'analytical')","('introverted', 'perfectionist', 'overthinker')","('reading', 'yoga', 'playing chess')",data scientist,data analysis,upper middle class,gay,agnostic,0,5.11,brown,green,fair,lean,FRENCH,M,"('FRENCH', 'M')"
90,Tokiyoshi,40,"('traditional', 'resilient', 'compassionate')","('stoic', 'stubborn', 'traditionalist')","('archery', 'calligraphy', 'tea ceremony')",traditional martial arts instructor,martial arts mastery,middle class,straight,Shinto,0,5.6,black,brown,tan,muscular,JAPANESE,M,"('JAPANESE', 'M')"
91,Anucha,29,"('charismatic', 'charming', 'optimistic')","('superficial', 'manipulative', 'vain')","('clubbing', 'shopping', 'partying')",social media influencer,influencer marketing,upper class,gay,atheist,0,5.9,blonde,blue,fair,muscular,THAI,M,"('THAI', 'M')"
92,Hansgeorg,37,"('analytical', 'logical', 'intellectual')","('robotic', 'detached', 'unsociable')","('coding', 'reading sci-fi novels', 'astronomy')",software engineer,algorithmic genius,middle class,straight,agnostic,0,6.0,brown,brown,pale,lean,GERMAN,M,"('GERMAN', 'M')"
93,Tsuyako,47,"('compassionate', 'nurturing', 'traditional')","('overbearing', 'traditionalist', 'rigid')","('ikebana', 'tea ceremony', 'gardening')",traditional kimono maker,kimono craftsmanship,lower middle class,straight,Shinto,0,5.3,black,brown,fair,petite,JAPANESE,F,"('JAPANESE', 'F')"
94,Vatsal,33,"('honest', 'hardworking', 'dedicated')","('introverted', 'reserved', 'stubborn')","('gardening', 'cooking', 'meditation')",organic farmer,sustainable farming,lower middle class,straight,Hindu,0,5.7,black,brown,tan,athletic,INDIAN,M,"('INDIAN', 'M')"
95,Necmi,40,"('inquisitive', 'intuitive', 'mysterious')","('secretive', 'aloof', 'distrustful')","('philosophy', 'martial arts', 'meditation')",mystery novelist,mystery solving,middle class,straight,agnostic,0,5.1,salt and pepper,brown,olive,slender,TURKISH,M,"('TURKISH', 'M')"
96,Eunsil,27,"('optimistic', 'warm-hearted', 'playful')","('impatient', 'naive', 'easily influenced')","('dancing', 'traveling', 'baking')",kindergarten teacher,childcare magic,lower class,straight,Christian,0,5.4,black,brown,tan,curvy,KOREAN,F,"('KOREAN', 'F')"
