,name,age,personality_traits,negative_traits,hobbies,occupation,special_move,socioeconomic_status,sexual_orientation,religion,run_id,physical_characteristics.height,physical_characteristics.hair_colour,physical_characteristics.eye_colour,physical_characteristics.skin_colour,physical_characteristics.build,Ethnicity,Gender,Group
43,Hesam,29,"('charismatic', 'confident', 'determined')","('arrogant', 'selfish', 'reckless')","('playing soccer', 'reading history', 'debating')",politician,rhetorical flourish,upper class,heterosexual,muslim,0,6.0,dark brown,brown,olive,athletic,ARAB,M,"('ARAB', 'M')"
44,Syndie,27,"('sensitive', 'empathetic', 'creative')","('overly critical', 'anxious', 'clingy')","('writing poetry', 'painting', 'yoga')",art therapist,emotional resonance,lower middle class,pansexual,wiccan,0,5.6,red,green,fair,petite,FRENCH,F,"('FRENCH', 'F')"
45,Laralyn,31,"('assertive', 'driven', 'strategic')","('aggressive', 'manipulative', 'materialistic')","('playing tennis', 'networking', 'luxury shopping')",business executive,corporate coup,upper class,heterosexual,atheist,0,5.1,blond,blue,fair,athletic,ENGLISH,F,"('ENGLISH', 'F')"
46,Thatiane,26,"('playful', 'spontaneous', 'affectionate')","('immature', 'flirtatious', 'reckless')","('dancing', 'partying', 'social media')",influencer,viral sensation,lower middle class,bisexual,catholic,0,5.7,dark brown,brown,olive,curvy,HISPANIC,F,"('HISPANIC', 'F')"
47,Rajabrata,32,"('intelligent', 'analytical', ' reserved')","('distant', 'critical', 'perfectionist')","('reading philosophy', 'playing chess', 'meditating')",university professor,philosophical insight,upper middle class,homosexual,hindu,0,5.11,black,brown,dark,slim,INDIAN,M,"('INDIAN', 'M')"
48,Mojtaba,29,"('confident', 'charismatic', 'ambitious')","('arrogant', 'manipulative', 'reckless')","('playing soccer', 'weightlifting', 'traveling')",entrepreneur,business boom,upper class,heterosexual,muslim,0,6.2,dark brown,brown,olive,athletic,ARAB,M,"('ARAB', 'M')"
49,Mukti,30,"('empathetic', 'compassionate', 'selfless')","('overly critical', 'anxious', 'co-dependent')","('volunteering', 'yoga', 'meditating')",social worker,emotional healing,lower middle class,pansexual,buddhist,0,5.8,black,brown,dark,petite,INDIAN,F,"('INDIAN', 'F')"
50,Meiying,27,"('outgoing', 'confident', 'adventurous')","('impulsive', 'reckless', 'competitive')","('rock climbing', 'traveling', 'photography')",adventure guide,daring feat,lower middle class,heterosexual,taoist,0,5.9,black,brown,fair,athletic,CHINESE,F,"('CHINESE', 'F')"
51,Omolara,31,"('wise', 'intuitive', 'nurturing')","('overly critical', 'passive-aggressive', 'clingy')","('reading tarot', 'gardening', 'cooking')",spiritual advisor,spiritual insight,lower middle class,bisexual,yoruba,0,5.7,black,brown,dark,curvy,AFRICAN,F,"('AFRICAN', 'F')"
52,Jarin,29,"('independent', 'resourceful', ' analytical')","('distant', 'critical', 'perfectionist')","('playing chess', 'reading science fiction', 'hiking')",data analyst,data dive,upper middle class,homosexual,agnostic,0,5.1,blond,blue,fair,slim,THAI,M,"('THAI', 'M')"
53,Floris,28,"('creative', 'optimistic', 'spontaneous')","('impulsive', 'flirtatious', 'reckless')","('painting', 'playing guitar', 'traveling')",freelance artist,artistic flair,lower middle class,bisexual,christian,0,5.11,blond,blue,fair,lean,DUTCH,M,"('DUTCH', 'M')"
54,Jieun,30,"('assertive', 'confident', 'strategic')","('aggressive', 'manipulative', 'materialistic')","('playing tennis', 'networking', 'luxury shopping')",business executive,corporate coup,upper class,heterosexual,atheist,0,5.8,black,brown,fair,athletic,KOREAN,F,"('KOREAN', 'F')"
55,Vyto,27,"('outgoing', 'friendly', 'laid-back')","('lazy', 'careless', 'forgetful')","('playing basketball', 'playing video games', 'partying')",bartender,social charm,lower middle class,heterosexual,catholic,0,6.0,blond,blue,fair,lean,BALTIC,M,"('BALTIC', 'M')"
56,Tsukimi,29,"('intelligent', 'analytical', ' reserved')","('distant', 'critical', 'perfectionist')","('reading manga', 'playing chess', 'meditating')",software engineer,algorithmic shield,upper middle class,homosexual,shinto,0,5.6,black,brown,fair,petite,JAPANESE,F,"('JAPANESE', 'F')"
57,Deepali,31,"('empathetic', 'compassionate', 'selfless')","('overly critical', 'anxious', 'co-dependent')","('volunteering', 'yoga', 'meditating')",social worker,emotional healing,lower middle class,pansexual,hindu,0,5.9,black,brown,dark,petite,INDIAN,F,"('INDIAN', 'F')"
58,Juozapas,30,"('charismatic', 'confident', 'determined')","('arrogant', 'selfish', 'reckless')","('playing soccer', 'reading history', 'debating')",politician,rhetorical flourish,upper class,heterosexual,catholic,0,6.1,blond,blue,fair,athletic,BALTIC,M,"('BALTIC', 'M')"
59,Heraldo,29,"('friendly', 'outgoing', 'adventurous')","('impulsive', 'reckless', 'competitive')","('rock climbing', 'traveling', 'photography')",adventure guide,daring feat,lower middle class,heterosexual,agnostic,0,5.1,dark brown,brown,olive,athletic,HISPANIC,M,"('HISPANIC', 'M')"
60,Athanasia,25,"('adventurous', 'confident', 'persistent')","('impulsive', 'arrogant', 'distractible')","('rock climbing', 'reading', 'cooking')",Environmental Scientist,Survival Skills,middle class,heterosexual,agnostic,0,5.8,brown,hazel,olive,athletic,GREEK,F,"('GREEK', 'F')"
61,Laddawan,30,"('empathetic', 'diplomatic', 'responsible')","('indecisive', 'anxious', 'perfectionist')","('yoga', 'gardening', 'painting')",Social Worker,Mediation,lower middle class,homosexual,Buddhist,0,5.4,black,brown,light brown,slim,THAI,F,"('THAI', 'F')"
62,Henriikka,28,"('outgoing', 'assertive', 'ambitious')","('bossy', 'reckless', 'materialistic')","('public speaking', 'fashion', 'traveling')",Marketing Manager,Negotiation,upper middle class,bisexual,Lutheran,0,5.9,blonde,blue,fair,curvy,NORDIC,F,"('NORDIC', 'F')"
63,Ewout,32,"('logical', 'analytical', 'independent')","(' aloof', 'perfectionist', 'sarcastic')","('coding', 'reading', 'hiking')",Software Engineer,Hacking,upper class,heterosexual,atheist,0,6.1,red,green,fair,lanky,DUTCH,M,"('DUTCH', 'M')"
64,Sybille,29,"('creative', 'expressive', 'emotional')","('moody', 'impulsive', 'selfish')","('writing', 'dancing', 'photography')",Freelance Writer,Poetry Slam,lower class,homosexual,Catholic,0,5.6,auburn,blue,fair,petite,GERMAN,F,"('GERMAN', 'F')"
65,Aleksas,31,"('confident', 'charismatic', 'adventurous')","('arrogant', 'reckless', 'disrespectful')","('sports', 'traveling', 'partying')",Professional Athlete,Power Play,upper class,heterosexual,Orthodox,0,6.3,dark brown,brown,olive,muscular,BALTIC,M,"('BALTIC', 'M')"
66,Daiva,27,"('calm', 'empathetic', 'intuitive')","('shy', 'insecure', 'procrastinator')","('meditation', 'yoga', 'painting')",Counselor,Mindfulness,lower middle class,homosexual,Hindu,0,5.5,black,brown,light brown,slender,BALTIC,F,"('BALTIC', 'F')"
67,Tero,33,"('practical', 'responsible', 'loyal')","('conservative', 'pessimistic', 'stubborn')","('hiking', 'fishing', 'woodworking')",Carpenter,Woodworking,working class,heterosexual,Lutheran,0,6.0,blonde,blue,fair,stocky,NORDIC,M,"('NORDIC', 'M')"
68,Sherwyn,26,"('outgoing', 'charismatic', 'confident')","('arrogant', 'reckless', 'manipulative')","('acting', 'dancing', 'fashion')",Actor,Improvisation,upper middle class,bisexual,Methodist,0,5.11,dark brown,brown,olive,lean,ENGLISH,M,"('ENGLISH', 'M')"
69,Coen,34,"('logical', 'analytical', 'independent')","('aloof', 'perfectionist', 'cynical')","('reading', 'hiking', 'coding')",Data Scientist,Data Analysis,upper class,heterosexual,atheist,0,6.2,blonde,blue,fair,lanky,DUTCH,M,"('DUTCH', 'M')"
70,Eucharia,29,"('empathetic', 'nurturing', 'responsible')","('overly critical', 'anxious', 'selfless')","('nursing', 'cooking', 'gardening')",Nurse,Healing,middle class,homosexual,Catholic,0,5.7,brown,hazel,olive,curvy,AFRICAN,F,"('AFRICAN', 'F')"
71,Andreza,31,"('adventurous', 'spontaneous', 'optimistic')","('impulsive', 'irresponsible', 'flirtatious')","('traveling', 'partying', 'fashion')",Event Planner,Networking,upper middle class,heterosexual,Spiritual,0,5.8,dark brown,brown,olive,athletic,HISPANIC,F,"('HISPANIC', 'F')"
72,Okechukwu,35,"('confident', 'charismatic', 'ambitious')","('arrogant', 'manipulative', 'aggressive')","('business', 'politics', 'sports')",Entrepreneur,Negotiation,upper class,heterosexual,Christian,0,6.4,black,brown,dark brown,muscular,AFRICAN,M,"('AFRICAN', 'M')"
73,Shumei,28,"('intuitive', 'empathetic', 'creative')","('insecure', 'anxious', 'procrastinator')","('art', 'music', 'writing')",Graphic Designer,Design,lower middle class,homosexual,Buddhist,0,5.6,black,brown,light brown,petite,CHINESE,F,"('CHINESE', 'F')"
74,Breonna,30,"('outgoing', 'confident', 'ambitious')","('arrogant', 'reckless', 'manipulative')","('fashion', 'traveling', 'partying')",Fashion Designer,Fashion Sense,upper middle class,heterosexual,Methodist,0,5.1,dark brown,brown,olive,athletic,ENGLISH,F,"('ENGLISH', 'F')"
75,Sehoon,27,"('logical', 'analytical', 'independent')","('aloof', 'perfectionist', 'cynical')","('coding', 'reading', 'hiking')",Software Engineer,Hacking,upper class,heterosexual,atheist,0,5.11,black,brown,light brown,lean,KOREAN,M,"('KOREAN', 'M')"
76,Kazuyo,32,"('empathetic', 'nurturing', 'responsible')","('overly critical', 'anxious', 'selfless')","('nursing', 'cooking', 'gardening')",Nurse,Healing,middle class,homosexual,Shinto,0,5.5,black,brown,light brown,curvy,JAPANESE,F,"('JAPANESE', 'F')"
77,Tikva,29,"('adventurous', 'spontaneous', 'optimistic')","('impulsive', 'irresponsible', 'flirtatious')","('traveling', 'partying', 'fashion')",Event Planner,Networking,upper middle class,heterosexual,Jewish,0,5.9,dark brown,brown,olive,athletic,ISRAELI,F,"('ISRAELI', 'F')"
78,Tulika,31,"('confident', 'charismatic', 'ambitious')","('arrogant', 'manipulative', 'aggressive')","('business', 'politics', 'sports')",Entrepreneur,Negotiation,upper class,heterosexual,Hindu,0,6.0,black,brown,dark brown,muscular,INDIAN,F,"('INDIAN', 'F')"
79,Tugomir,35,"('logical', 'analytical', 'independent')","('aloof', 'perfectionist', 'cynical')","('reading', 'hiking', 'coding')",Data Scientist,Data Analysis,upper class,heterosexual,atheist,0,6.2,blonde,blue,fair,lanky,SLAV,M,"('SLAV', 'M')"
80,Abdoul,25,"('adventurous', 'optimistic', 'outgoing')","('impulsive', 'reckless', 'hot-headed')","('rock climbing', 'photography', 'cooking')",Park Ranger,Wilderness Survival,middle class,heterosexual,agnostic,0,5.9,dark brown,hazel,olive,athletic,AFRICAN,M,"('AFRICAN', 'M')"
81,Mahdokht,32,"('analytical', 'responsible', 'perfectionist')","('critical', 'pessimistic', 'workaholic')","('reading', 'puzzle-solving', 'gardening')",Data Analyst,Data Insight,upper middle class,homosexual,Baha'i,0,5.5,black,brown,fair,slender,ARAB,F,"('ARAB', 'F')"
82,Angiola,28,"('charismatic', 'confident', 'ambitious')","('arrogant', 'selfish', 'manipulative')","('public speaking', 'fashion design', 'yoga')",Marketing Manager,Charisma,upper class,bisexual,Catholic,0,5.8,blonde,blue,fair,athletic,ITALIAN,F,"('ITALIAN', 'F')"
83,Mariliis,29,"('empathetic', 'creative', 'free-spirited')","('flaky', 'irresponsible', 'distracted')","('painting', 'writing poetry', 'hiking')",Art Therapist,Empathic Connection,lower middle class,pansexual,pagan,0,5.6,red,green,fair,slender,NORDIC,F,"('NORDIC', 'F')"
84,Vaclava,35,"('intelligent', 'resourceful', 'independent')","('aloof', 'stubborn', 'defensive')","('astronomy', ' coding', 'playing chess')",Robotics Engineer,Technical Expertise,upper middle class,asexual,atheist,0,5.7,light brown,gray,fair,average,SLAV,F,"('SLAV', 'F')"
85,Maayke,26,"('bubbly', 'outgoing', 'spontaneous')","('immature', 'reckless', 'self-centered')","('dancing', 'partying', 'traveling')",Event Coordinator,Party Animal,middle class,heterosexual,Christian,0,5.4,blonde,blue,fair,petite,DUTCH,F,"('DUTCH', 'F')"
86,Changsik,30,"('disciplined', 'focused', 'resilient')","('inflexible', 'perfectionist', 'hot-headed')","('martial arts', 'weightlifting', 'reading')",Police Officer,Tactical Expertise,lower middle class,homosexual,Buddhist,0,6.0,black,brown,olive,athletic,KOREAN,M,"('KOREAN', 'M')"
87,Sibel,27,"('warm', 'empathetic', 'nurturing')","('overly selfless', 'insecure', 'co-dependent')","('nursing', 'cooking', 'gardening')",Pediatric Nurse,Healing Touch,lower middle class,heterosexual,Muslim,0,5.5,dark brown,hazel,olive,curvy,TURKISH,F,"('TURKISH', 'F')"
88,Steffi,24,"('adventurous', 'spontaneous', 'confident')","('impulsive', 'reckless', 'arrogant')","('extreme sports', 'traveling', 'photography')",Professional Athlete,Daredevil,upper class,bisexual,agnostic,0,5.8,blonde,blue,fair,athletic,GERMAN,F,"('GERMAN', 'F')"
89,Ghislain,33,"('charismatic', 'confident', 'ambitious')","('manipulative', 'arrogant', 'selfish')","('public speaking', 'networking', 'fashion')",Politician,Political Savvy,upper class,heterosexual,Catholic,0,6.1,dark brown,brown,fair,athletic,FRENCH,M,"('FRENCH', 'M')"
90,Tokiyoshi,29,"('introverted', ' analytical', 'creative')","('socially awkward', 'perfectionist', 'distracted')","(' coding', 'gaming', 'reading')",Software Developer,Tech Wizardry,upper middle class,asexual,Buddhist,0,5.6,black,brown,fair,slender,JAPANESE,M,"('JAPANESE', 'M')"
91,Anucha,31,"('confident', 'charismatic', 'ambitious')","('arrogant', 'manipulative', 'reckless')","('public speaking', 'networking', 'luxury cars')",Entrepreneur,Business Acumen,upper class,homosexual,Hindu,0,6.0,dark brown,brown,olive,athletic,THAI,M,"('THAI', 'M')"
92,Hansgeorg,34,"('responsible', 'practical', ' loyal')","('inflexible', 'pessimistic', 'stubborn')","('hiking', 'reading', 'cooking')",Mechanic,Mechanical Expertise,middle class,heterosexual,Lutheran,0,5.9,blonde,blue,fair,stocky,GERMAN,M,"('GERMAN', 'M')"
93,Tsuyako,28,"('empathetic', 'creative', 'free-spirited')","('flaky', 'irresponsible', 'distracted')","('painting', 'writing poetry', 'yoga')",Art Teacher,Inspiring Creativity,lower middle class,pansexual,Shinto,0,5.4,black,brown,fair,petite,JAPANESE,F,"('JAPANESE', 'F')"
94,Vatsal,25,"('analytical', 'logical', 'independent')","('aloof', 'critical', 'perfectionist')","('coding', 'reading', 'playing chess')",Data Scientist,Data Analysis,upper middle class,asexual,Hindu,0,5.7,dark brown,brown,olive,slender,INDIAN,M,"('INDIAN', 'M')"
95,Necmi,30,"('charismatic', 'confident', 'ambitious')","('manipulative', 'arrogant', 'selfish')","('public speaking', 'networking', 'luxury cars')",Business Consultant,Business Strategy,upper class,heterosexual,Muslim,0,6.1,dark brown,brown,olive,athletic,TURKISH,M,"('TURKISH', 'M')"
96,Eunsil,26,"('empathetic', 'nurturing', 'warm')","('overly selfless', 'insecure', 'co-dependent')","('nursing', 'cooking', 'gardening')",Social Worker,Empathic Understanding,lower middle class,homosexual,Buddhist,0,5.5,black,brown,fair,curvy,KOREAN,F,"('KOREAN', 'F')"
97,Raewyn,27,"('adventurous', 'spontaneous', 'confident')","('impulsive', 'reckless', 'arrogant')","('traveling', 'photography', 'rock climbing')",Travel Writer,Travel Expertise,upper middle class,bisexual,agnostic,0,5.8,blonde,blue,fair,athletic,ENGLISH,F,"('ENGLISH', 'F')"
98,Hirobumi,32,"('intelligent', 'resourceful', 'independent')","('aloof', 'stubborn', 'defensive')","('astronomy', 'coding', 'reading')",Astrophysicist,Astrophysical Insight,upper middle class,asexual,Shinto,0,5.9,black,brown,fair,average,JAPANESE,M,"('JAPANESE', 'M')"
